ad,dogum_yeri,dogum_tarihi,yas,ilkokul,ilkokul_yillari,lise,lise_yillari,universite,universite_yillari,bolum,yuksek_lisans,yuksek_lisans_yillari,doktora,doktora_yillari,calistigi_kurumlar,calisma_yillari,kurdugu_girisim_ve_dernekler,girisim_kurulus_yillari,yasadigi_sehir,hobiler,es,cocuklar,akademik_yayinlar,yayin_yillari,dosya_adi,ilkokul_yillari_baslangic,ilkokul_yillari_bitis,lise_yillari_baslangic,lise_yillari_bitis,universite_yillari_baslangic,universite_yillari_bitis,yuksek_lisans_yillari_baslangic,yuksek_lisans_yillari_bitis,doktora_yillari_baslangic,doktora_yillari_bitis,calisma_yillari_baslangic,calisma_yillari_bitis
Ayla Özdemir,İzmir,15.07.1985,40,İzmir Bornova Koleji,1991-1999,İzmir Fen Lisesi,2000-2004,Dokuz Eylül Üniversitesi,2004-2008,Mimarlık,İstanbul Teknik Üniversitesi,2008-2010,,None,"[""İzmir'deki küçük bir mimarlık ofisi"", 'Era Mimarlık ve Gayrimenkul', 'Arçelik A.Ş.', 'Çevre ve Şehircilik Bakanlığı Kentleşme Genel Müdürlüğü', 'Sürdürülebilir Kentler Derneği']","['2008-2009', '2010-2012', '2012-2016', '2016-2021', '2021-devam ediyor']",['Sürdürülebilir Kentler Derneği'],['2021'],İstanbul,"['doğa yürüyüşleri', 'kuş gözlemciliği', 'şehir bahçeciliği', 'klasik müzik dinlemek', 'yerel pazarlardan taze ürünler alıp yeni tarifler denemek']",Emre Aksoy,"['Zeynep', 'Can']","['Kentsel Dönüşümde Yeşil Alanların Sürdürülebilirliği: İzmir Örneği', 'İklim Değişikliğine Dirençli Kent Tasarımları Üzerine Bir Araştırma', 'Dairesel Ekonomi Yaklaşımıyla Kent Mobilyaları Tasarımı']","['2010', '2017', '2022']",ayla_ozdemir.md,1991,1999,2000,2004,2004,2008,2008,2010,None,,['2008,"2009', '2010-2012', '2012-2016', '2016-2021', '2021-devam ediyor']"
Ayla Toprak,Antalya,15.03.1987,38,Antalya Koleji İlkokulu,1993-2000,Antalya Anadolu Lisesi,2000-2005,İstanbul Teknik Üniversitesi,2005-2009,Şehir ve Bölge Planlama,Gazi Üniversitesi,2010-2012,,None,"['İstanbul Büyükşehir Belediyesi Şehir Planlama Müdürlüğü', 'Çevre, Şehircilik ve İklim Değişikliği Bakanlığı', 'Kentsel Gelişim Danışmanlık A.Ş.', 'Yaşanabilir Şehirler Vakfı']","['2009', '2012-2018', '2018-2023', '2023-devam ediyor']",['Kent Bahçeleri Derneği'],['2015'],Ankara,"['yoga', 'farklı şehirlerin sokaklarında uzun yürüyüşler yapmak', 'amatör fotoğrafçılık', 'mimari ve şehir planlama belgesellerini izlemek']",Can Yıldız,"['Elif', 'Deniz']",['Akıllı Şehir Çözümlerinin Kentsel Dönüşüm Projelerine Etkisi: Ankara Örneği'],['2017'],ayla_toprak.md,1993,2000,2000,2005,2005,2009,2010,2012,None,,"['2009', '2012","2018', '2018-2023', '2023-devam ediyor']"
Ayşegül Keskin,Adana,15.08.1989,36,Adana Merkez İlkokulu,1995-2000,Adana Fen Lisesi,2000-2004,Orta Doğu Teknik Üniversitesi (ODTÜ),2004-2008,Kimya Mühendisliği,Gazi Üniversitesi,2008-2010,,None,"['Pınar Süt', 'Danone Türkiye', 'Ülker']","['2010-2014', '2014-2018', '2018-2021']","['BioSens Gıda Teknolojileri', 'Gıda Atıklarını Azaltma Derneği (GİDAD)']","['2021', '2022']",İstanbul,"['yemek tarifleri denemek', 'doğa yürüyüşleri yapmak', 'organik sebze ve meyve yetiştirmek', 'Klasik Türk Müziği dinlemek', 'amatör fotoğrafçılık']",Can Yılmaz,"['Elif', 'Bora']","['Peynir Altı Suyunun Biyodizel Üretiminde Kullanımı Üzerine Bir Araştırma', 'Yenilikçi Protein Kaynaklarının Sürdürülebilir Gıda Üretimine Entegrasyonu']","['2011', '2019']",aysegul_keskin.md,1995,2000,2000,2004,2004,2008,2008,2010,None,,['2010,"2014', '2014-2018', '2018-2021']"
Aysel Öztürk,İzmir,15.07.1989,36,Şehit Fethi Bey İlköğretim Okulu,1995-2003,İzmir Türk Koleji,2003-2007,Boğaziçi Üniversitesi,2008-2012,İşletme,Sabancı Üniversitesi,2014-2016,,None,"['Unilever Türkiye', 'Google Türkiye', 'Trendyol', 'DigiInsights Danışmanlık']","['2012-2014', '2016-2019', '2019-2023', '2023-devam ediyor']",['DigiInsights Danışmanlık'],['2023'],İstanbul,"['yoga yapmak', 'seramik sanatıyla uğraşmak', 'seyahat blogu yazmak']",Can Yılmaz,"['Elif', 'Deniz']",['Sosyal Medya Etkileyicilerinin Marka Algısı Üzerindeki Etkileri ve Tüketici Karar Süreçleri'],['2017'],aysel_ozturk.md,1995,2003,2003,2007,2008,2012,2014,2016,None,,['2012,"2014', '2016-2019', '2019-2023', '2023-devam ediyor']"
Ayşe Çakır,İzmir,15.06.1989,36,Atatürk İlkokulu,1995-2003,Bornova Anadolu Lisesi,2003-2007,Dokuz Eylül Üniversitesi,2007-2011,Güzel Sanatlar Fakültesi Fotoğraf Bölümü,Marmara Üniversitesi,2012-2014,,None,"['Tribal Worldwide İstanbul', 'TBWA\\Istanbul', 'Ayşe Çakır Fotoğraf Stüdyosu']","['2011-2013', '2013-2017', '2017-devam ediyor']",['Ayşe Çakır Fotoğraf Stüdyosu'],['2017'],İstanbul,"['analog fotoğraf makineleri koleksiyonu yapmak', 'dünya mutfaklarından vegan tarifler denemek', 'İskandinav sineması belgeselleri izlemek', 'pilates yapmak', 'yoga yapmak']",Can Yılmaz,['Ela Yılmaz'],"[""Anadolu'nun Yüzleri"", 'Şehrin Işıkları, Doğanın Gölgesi']","['2019', '2021']",ayse_cakir.md,1995,2003,2003,2007,2007,2011,2012,2014,None,,['2011,"2013', '2013-2017', '2017-devam ediyor']"
Aysun Uçar,Eskişehir,05.07.1987,38,Eskişehir Zübeyde Hanım İlkokulu,1993-2000,Eskişehir Fatih Lisesi,2000-2004,Marmara Üniversitesi,2004-2008,Halkla İlişkiler ve Tanıtım,İstanbul Bilgi Üniversitesi,2008-2010,,None,"['PRNet İletişim Danışmanlığı', 'Koç Holding', 'Türk Telekom', 'Doğan Holding', 'Pera Müzesi']","['2010-2013', '2013-2015', '2015-2018', '2018-2022', '2022-devam ediyor']",['Her Mahalleye Bir Sanat Atölyesi'],[],İstanbul,"['çağdaş sanat sergilerini gezmek', 'doğa fotoğrafçılığı yapmak', 'uzun mesafe koşuları', 'felsefe ve psikoloji üzerine kitaplar okumak']",Emre Sayın,"['Deniz', 'Can']","[""Türkiye'de Çağdaş Sanat Müzelerinin Kurumsal İletişim Stratejileri ve Kamuoyu Algısı Üzerine Bir Araştırma"", 'Kentsel Dönüşüm Projelerinde Halkla İlişkiler Stratejilerinin Rolü: İstanbul Örneği']","['2011', '2016']",aysun_ucar.md,1993,2000,2000,2004,2004,2008,2008,2010,None,,['2010,"2013', '2013-2015', '2015-2018', '2018-2022', '2022-devam ediyor']"
Bahar Erdoğan,Kayseri,15.06.1988,37,Kayseri Kadir Has İlkokulu,1994-2001,Kayseri Sümer Anadolu Lisesi,2001-2005,Boğaziçi Üniversitesi,2003-2007,Siyaset Bilimi ve Uluslararası İlişkiler,Galatasaray Üniversitesi,2009-2011,,None,"['Ogilvy İstanbul', 'Koç Holding', 'Garanti BBVA', 'Anadolu Mirası Sürdürülebilir Turizm Derneği']","['2011-2013', '2013-2017', '2017-2020', '2021-devam ediyor']",['Anadolu Mirası Sürdürülebilir Turizm Derneği'],['2021'],İstanbul,"['doğa yürüyüşleri', 'klasik müzik dinlemek', 'fotoğrafçılık', 'eski Türk filmleri izlemek', 'blog yazmak']",Can Yılmaz,"['Ela Yılmaz', 'Arda Yılmaz']","[""Türkiye'de Kurumsal Sosyal Sorumluluk Projelerinin Kamuya Etkileri ve Algılanması""]",['2011'],bahar_erdogan.md,1994,2001,2001,2005,2003,2007,2009,2011,None,,['2011,"2013', '2013-2017', '2017-2020', '2021-devam ediyor']"
Baran Keskin,Diyarbakır,15.08.1982,43,Diyarbakır Şehitlik İlkokulu,1988-1996,Diyarbakır Süleyman Demirel Anadolu Lisesi,1996-2000,Ege Üniversitesi,2000-2004,Gazetecilik Bölümü,Marmara Üniversitesi,2005-2007,,None,"['Güneydoğu Ses Gazetesi', 'Milliyet Gazetesi', 'Hürriyet Daily News (Dijital)', 'Medya A.Ş.']","['2004-2005', '2007-2012', '2012-2018', '2018-devam ediyor']",['Haber Atlası'],['2019'],İstanbul,"['amatör fotoğrafçılık', 'belgesel izlemek', 'tenis oynamak', 'seyahat etmek', 'eski Türk filmleri koleksiyonculuğu']",Zeynep Keskin,"['Ada', 'Deniz']","['Yeni Medya ve Toplumsal Algı Değişimi: Türkiye Örneği', 'Dijital Dezenformasyon Çağında Haber Okuryazarlığı: Gençlerin Rolü', 'Algının Peşinde: Dijital Çağda Haber ve Gerçeklik']","['2007', '2016', '2015']",baran_keskin.md,1988,1996,1996,2000,2000,2004,2005,2007,None,,['2004,"2005', '2007-2012', '2012-2018', '2018-devam ediyor']"
Batuhan Özdemir,Adana,12.08.1989,36,Adana Mehmet Akif Ersoy İlkokulu,1996-2000,Ankara Fen Lisesi,2003-2007,Orta Doğu Teknik Üniversitesi (ODTÜ),2007-2011,Bilgisayar Mühendisliği Bölümü,Boğaziçi Üniversitesi,2011-2013,,None,"['Teknofix A.Ş.', 'Arçelik A.Ş.', 'Microsoft Türkiye', 'Getir']","['2011-2013', '2013-2016', '2016-2020', '2020-devam ediyor']",[],[],İstanbul,"['bağlama çalmak', 'doğa yürüyüşleri', 'drone fotoğrafçılığı', 'yeni teknolojileri takip etmek']",Ayşe Özdemir,"['Elif Özdemir', 'Can Özdemir']","['Interpretable Machine Learning Models for Supply Chain Optimization', 'Ethical Considerations in Predictive Analytics for Consumer Behavior']","['2018', '2021']",batuhan_ozdemir.md,1996,2000,2003,2007,2007,2011,2011,2013,None,,['2011,"2013', '2013-2016', '2016-2020', '2020-devam ediyor']"
Batuhan Uçar,Antalya,15.08.1983,42,İsmet İnönü İlkokulu,1990-1997,Antalya Lisesi,1997-2001,Akdeniz Üniversitesi,2001-2005,Halkla İlişkiler ve Tanıtım,İstanbul Üniversitesi,2007-2009,,None,"['McCann Erickson İstanbul', 'Türk Hava Yolları (THY)', 'Vodafone Türkiye', 'Türk Telekom', 'Siemens Türkiye']","['2005-2007', '2007-2010', '2010-2014', '2014-2018', '2018-devam ediyor']",[],[],İstanbul,"['fotoğrafçılık', 'sokak fotoğrafçılığı', 'belgesel fotoğrafçılığı', 'bisiklet turları yapmak', 'farklı kültürlerin mutfaklarını deneyimlemek', 'kısa film senaryoları yazmak']",Elif Öztürk,"['Zeynep', 'Emre']","['Dijital Çağda Kriz İletişimi: Sosyal Medyanın Rolü', 'Marka Elçiliği ve Çalışan Bağlılığı İlişkisi Üzerine Bir Araştırma']","['2010', '2015']",batuhan_ucar.md,1990,1997,1997,2001,2001,2005,2007,2009,None,,['2005,"2007', '2007-2010', '2010-2014', '2014-2018', '2018-devam ediyor']"
Baturalp Polat,Adana,15.03.1982,43,Adana İsmet İnönü İlkokulu,1988-1996,Adana Anadolu Lisesi,1996-2000,Orta Doğu Teknik Üniversitesi (ODTÜ),2000-2004,İnşaat Mühendisliği,Hacettepe Üniversitesi,2004-2006,,None,"['TAV İnşaat A.Ş.', 'Koç Holding', 'Yeşil Şehirler Danışmanlık A.Ş.']","['2006-2013', '2013-2017', '2017-devam ediyor']",['Yeşil Şehirler Danışmanlık A.Ş.'],['2017'],İstanbul,"['şehir manzarası fotoğrafları çekmek', 'doğa yürüyüşleri yapmak', 'klasik müzik dinlemek', 'mimari tarih üzerine kitaplar okumak', 'kent sosyolojisi üzerine kitaplar okumak']",Ayşe Polat,"['Deniz', 'Cem']","['Kentsel Dönüşümde Yeşil Alan Entegrasyonu: Ankara Örneği', 'Akıllı Şehirler ve Sürdürülebilir Ulaşım Modelleri: İstanbul Analizi']","['2015', '2019']",baturalp_polat.md,1988,1996,1996,2000,2000,2004,2004,2006,None,,['2006,"2013', '2013-2017', '2017-devam ediyor']"
Betül Doğan,Adana,15.03.1983,42,Adana İsmet İnönü İlkokulu,1989-1997,Adana Sunar Nuri Çomu Anadolu Lisesi,1997-2001,Hacettepe Üniversitesi,2001-2005,Halkla İlişkiler ve Tanıtım,Boğaziçi Üniversitesi,2007-2009,,None,"['Unilever Türkiye', 'Vestel', 'Coca-Cola İçecek', 'Garanti BBVA', 'Turkcell']","['2005-2007', '2009-2012', '2012-2017', '2017-2020', '2020-devam ediyor']",[],[],İstanbul,"['pilates yapmak', 'seyahat blogu yazmak', 'el yapımı sabun üretimiyle uğraşmak']",Can Doğan,"['Ela', 'Deniz']","['Dijital Dönüşümün Tüketici Davranışlarına Etkisi: FMCG Sektörü Örneği', 'Sürdürülebilir Marka Yönetimi ve Z Kuşağı']","['2009', '2021']",betul_dogan.md,1989,1997,1997,2001,2001,2005,2007,2009,None,,['2005,"2007', '2009-2012', '2012-2017', '2017-2020', '2020-devam ediyor']"
Betül Erdoğan,Bursa,15.08.1986,39,Çelebi Mehmet İlkokulu,1993-2000,Bursa Anadolu Lisesi,2000-2004,Orta Doğu Teknik Üniversitesi,2004-2008,Mimarlık,İstanbul Teknik Üniversitesi,2009-2011,,None,"['T.C. Çevre ve Şehircilik Bakanlığı', 'İstanbul Büyükşehir Belediyesi', 'Kültürel Mirasın Korunması Vakfı', 'Miras Mimari Danışmanlık']","['2008-2012', '2012-2017', '2017-2022', '2022-devam ediyor']",['Miras Mimari Danışmanlık'],['2022'],İstanbul,"['Fotoğrafçılık', 'Türk Sanat Müziği', 'Kaligrafi']",Emre Güngör,"['Selin', 'Can']","['Kent Kimliği ve Kentsel Bellek: İstanbul Örneği', ""Bursa'nın Tarihi Mahallelerinde Sürdürülebilir Dönüşüm ve Toplumsal Katılım""]","['2011', '2015']",betul_erdogan.md,1993,2000,2000,2004,2004,2008,2009,2011,None,,['2008,"2012', '2012-2017', '2017-2022', '2022-devam ediyor']"
Bülent Yıldız,Kayseri,14.07.1985,40,Sümer İlkokulu,1991-1996,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi (ODTÜ),2007-2011,Bilgisayar Mühendisliği,Hacettepe Üniversitesi,2011-2013,,None,"['Turkcell', 'Arçelik', 'ING Bank', 'VeriVizyon AI']","['2013-2014', '2014-2017', '2018-2021', '2021-devam ediyor']",['VeriVizyon AI'],['2021'],Ankara,"['doğa yürüyüşleri', 'fotoğraf çekmek', 'kuş fotoğrafçılığı', 'bağlama çalmak', 'müzik grubu provalarına katılmak']",Ayşe Demir,"['Deniz', 'Can']","['Büyük Veri Analitiğinde Gerçek Zamanlı Akış İşleme Yöntemlerinin Karşılaştırılması', 'Makine Öğrenimi Modellerinde Açıklanabilirlik ve Şeffaflık Yaklaşımları: Regülasyonlara Uyum ve Uygulama Zorlukları', 'Derin Öğrenme ile Doğal Dil İşlemede Duygu Analizi Yöntemleri ve Finansal Piyasalara Uygulamaları']","['2013', '2018', '2020']",bulent_yildiz.md,1991,1996,2002,2006,2007,2011,2011,2013,None,,['2013,"2014', '2014-2017', '2018-2021', '2021-devam ediyor']"
Burak Acar,İzmir,15.08.1986,39,Bornova Piri Reis İlkokulu,1992-2000,İzmir Fen Lisesi,2000-2004,Orta Doğu Teknik Üniversitesi,2004-2008,Makine Mühendisliği,Koç Üniversitesi,2008-2010,,None,"['ASELSAN', 'Arçelik', 'Türk Telekom', 'Garanti BBVA', 'PerformAI Analytics']","['2010-2014', '2014-2016', '2016-2018', '2018-2021', '2021-devam ediyor']",['PerformAI Analytics'],['2021'],İstanbul,"['maraton koşusu', 'doğa yürüyüşleri', 'amatör fotoğrafçılık']",Ayşe Yılmaz,"['Deniz', 'Ege']",['Spor Endüstrisinde Büyük Veri Kullanımı ve Finansal Modelleme: Türk Kulüpleri Üzerine Bir Vaka Analizi'],['2022'],burak_acar.md,1992,2000,2000,2004,2004,2008,2008,2010,None,,['2010,"2014', '2014-2016', '2016-2018', '2018-2021', '2021-devam ediyor']"
